,best,strategy,acq_func,performance,params,xratio,delay,week
2,1,BBvolumeStrategy,poi,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,4.455271006,27
0,1,BBvolumeStrategy,ucb,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,25.32736373,29
1,1,BBvolumeStrategy,ei,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,56.17523479,29
2,1,BBvolumeStrategy,poi,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,4.946814537,29
0,1,BBvolumeStrategy,ucb,1.395779317,"{'bb_mult_factor': 5.0, 'bb_periods': 5.468496059572183, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 1.0, 'vol_periods': 20.0}",20.596951,18.86499715,31
1,1,BBvolumeStrategy,ei,1.283970852,"{'bb_mult_factor': 1.0, 'bb_periods': 13.671893205459375, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 1.0, 'vol_periods': 20.0}",25.71986817,24.70600152,31
2,1,BBvolumeStrategy,poi,1.529989834,"{'bb_mult_factor': 1.8732647698328817, 'bb_periods': 17.053848038562577, 'vol_mult_factor_down': 4.114362827309858, 'vol_mult_factor_up': 2.660370327704654, 'vol_periods': 1.4118631507491464}",25.30029887,9.536997795,31
0,1,BBvolumeStrategy,ucb,1.249131786,"{'bb_mult_factor': 1.0, 'bb_periods': 13.477483629276797, 'vol_mult_factor_down': 1.0, 'vol_mult_factor_up': 1.0, 'vol_periods': 20.0}",20.3604895,19.09634924,33
1,1,BBvolumeStrategy,ei,1.388585047,"{'bb_mult_factor': 1.0, 'bb_periods': 7.621884421761614, 'vol_mult_factor_down': 1.0, 'vol_mult_factor_up': 1.0, 'vol_periods': 11.648815533116531}",27.68022521,31.27041078,33
2,1,BBvolumeStrategy,poi,1.154505979,"{'bb_mult_factor': 2.682019585735556, 'bb_periods': 16.708257679235405, 'vol_mult_factor_down': 4.322274643870195, 'vol_mult_factor_up': 4.764017923071881, 'vol_periods': 1.8539096523297167}",23.85627528,8.715000629,33
